Ticker, CompanyName, MarketCap, PERatio, TrailingPE, ForwardPE, DividendPerShare, DividendYield, GrossProfitTTM, RevenueTTM, AnalystTargetPrice 
MDC, M.D.C. Holdings Inc, 4235667200, 11.6599, 11.6599, 7.2254, 1.352, 0.0238, 861706000, 3901210880, 63.9 
SHLX, Shell Midstream Partners L.P, 5034112000, 10.2729, 10.2729, 7.6453, 1.84, 0.1461, 295000000, 481000000, 12.95 
APPS, Digital Turbine Inc, 7041320960, 191.1408, 191.1408, 90.9091, None, 0, 53673000, 257848000, 83.83 
TPL, Texas Pacific Land Corporation, 10172823552, 57.7839, 57.7839, 41.1523, 10, 0.0078, 284025000, 302231008, 1340.5 
TDS, Telephone and Data Systems Inc, 2645354752, 11.9288, 11.9288, 0, 0.68, 0.0312, 2871000000, 5224999936, 32.5 
APLS, Apellis Pharmaceuticals Inc, 4113613056, None, 0, 0, None, 0, -74325000, 250646000, 64.14 
RLAY, Relay Therapeutics Inc, 3458115840, None, 0, 0, None, None, 0, 0, 58.8 
LILA, Liberty Latin America Ltd, 3344157440, None, 0, 17.3913, None, 0, 2918600000, 3764600064, 15.56 
EQT, EQT Corporation, 5234089984, None, 0, 69.4444, 0.03, 0.0017, 792492000, 2612252928, 22.17 
APPH, AppHarvest Inc, 2021176064, None, 0, 0, None, None, 0, 0, None 
NEWR, New Relic Inc, 3695042816, None, 0, 5000, None, 0, 496273000, 654636032, 71.33 
DISCK, Discovery Inc, 29382307840, 39.8027, 39.8027, 18.3486, None, 0, 6859000000, 10670999552, 37.33 
MAT, Mattel Inc, 6848503808, 54.6389, 54.6389, 26.6667, 0, 0, 2249250000, 4583660032, 21.32 
HWM, Howmet Aerospace Inc, 13238266880, 19.16, 19.16, 31.25, 0.08, 0.0064, 1422000000, 5258999808, 33.86 
MSTR, MicroStrategy Incorporated, 7253060096, 3117.7273, 3117.7273, 45.6621, None, 0, 389680000, 480735008, 325 
SAH, Sonic Automotive Inc, 2224783360, 8.3837, 8.3837, 11.3507, 0.4, 0.008, 1423645000, 9767042048, 52.83 
LAD, Lithia Motors Inc, 9986617344, 19.2002, 19.2002, 18.5874, 1.23, 0.0033, 2225600000, 13124299776, 382.6 
